text,target
"['spiritu', 'ritual', 'festiv', 'népal', 'begin', 'line-up', ':)', 'left', 'line-up', 'see', '...']",1.0
"['hey', 'sarah', 'send', 'us', 'email', 'bitsy.com', ""we'll"", 'help', 'asap', ':)']",1.0
"['lol', ':d']",1.0
"['kik', 'hatessuc', 'kik', 'kikm', 'lgbt', 'tinder', 'nsfw', 'akua', 'cumshot', ':)']",1.0
"['come', 'hous', ':)']",1.0
"['nsn_supplement', 'effect', 'press', 'releas', 'distribut', 'result', ':)', 'link', 'remov', 'pressreleas', 'newsdistribut']",1.0
"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', 'love', 'x']",1.0
"['everyon', 'watch', 'documentari', 'earthl', 'youtub', ':-)']",1.0
['follow'],1.0
"['followfriday', 'top', 'support', 'commun', 'week', ':)']",1.0
"['buuut', 'oh', 'well', ':-)']",1.0
"['look', 'forward', 'visit', 'next', 'week', 'letsgetmessi', 'jo', ':-)']",1.0
"['make', 'u', 'feel', 'better', 'never', 'see', 'anyon', 'kpop', 'flesh', ':d']",1.0
"['good', 'girl', 'best', 'wish', ':-)']",1.0
"['great', 'enough', 'reason', 'listen', 'one', 'epic', 'soundtrack', ':d']",1.0
"['thank', 'shout', 'great', 'friday', ':)']",1.0
"['ad', 'video', 'playlist']",1.0
"['would', 'love', 'see', 'dear', 'jordan', ':)', 'wait', ':)']",1.0
"['oh', 'okay', ':d', 'thank']",1.0
"['like', 'fake', 'gameplay', ';)', 'haha', 'im', 'kid', 'im', 'kid', 'good', 'stuff', ':)']",1.0
"['yeah', 'exactli', ':)']",1.0
"['new', 'product', 'line', 'etsi', 'shop', 'check', ':)']",1.0
"['hope', 'vacat', 'go', 'great', ':d']",1.0
"['recharg', 'normal', 'come', 'charger', 'u', 'buy', ':)']",1.0
"['followfriday', 'top', 'engag', 'member', 'commun', 'week', ':)']",1.0
"['well', 'asleep', 'one', 'talk', 'sooo', 'someon', 'text', ':)']",1.0
"['ye', 'suppos', 'bet', ""he'll"", 'blue', 'fit', 'hear', 'speech', 'today', 'piti', ':-)']",1.0
"['green', 'garden', 'midnight', 'sun', 'beauti', 'canal', 'dasvidaniya', 'till', 'next', 'visit', ':)']",1.0
"['scout', 'sg', 'futur', 'wlan', 'pro', 'confer', 'asia', ':)']",1.0
"['good', 'u', 'better', 'chang', 'lollipop', ':)']",1.0
"['u', 'nez', ':)', 'agnezmo']",1.0
"['follow', 'pleas', ':)', 'big', 'dream', ':)']",1.0
"['oley', ':d']",1.0
"['mama', 'reason', 'stand', 'stronger', ':)']",1.0
['follow'],1.0
"['oh', 'god', 'misti', 'babi', 'cute', ':d']",1.0
"['love', 'blue', ':)', 'flipkartfashionfriday']",1.0
"['woohoo', ""can't"", 'wait', ':)', 'sign', 'yet', 'still', 'think', 'mka']",1.0
"['liam', 'access', ':)']",1.0
"['welcom', ':)']",1.0
"['stat', 'day', 'arriv', 'new', 'follow', 'unfollow', ':)', 'via']",1.0
"['surpris', '...', 'amaz', 'figur', ':)']",1.0
"['followfriday', 'top', 'influenc', 'commun', 'week', ':)']",1.0
"['happybirthdayemilybett', ':)', 'wish', 'best', 'beauti', 'sweet', 'talent', 'amaz', '…']",1.0
"['plan', 'day', 'drain', 'great', ':)']",1.0
"['gotta', 'love', 'timezon', ':p']",1.0
"['parent', 'proud', '—', 'lol', 'least', ':d', 'mayb', 'sometim', 'get', 'happi', 'grade', 'al', '...']",1.0
"['grand', ':)']",1.0
"['manila_bro', 'chosen', 'follow', 'twitter']",1.0
"['sure', 'let', 'know', 'around', '..', 'side', 'world', 'eh', 'u', 'take', 'care', ':-)']",1.0
"['followfriday', 'top', 'new', 'follow', 'commun', 'week', ':)']",1.0
"['final', 'fuck', 'weekend', ':)']",1.0
"['real', ':)']",1.0
"['thank', ':d']",1.0
"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', 'love', 'x']",1.0
"['ye', 'join', 'hushedcallwithfraydo', 'call', 'gift', 'gotta', 'get', ':d']",1.0
"['yeahhh', ':)']",1.0
"['dm', 'make', 'night', 'better', ':)']",1.0
"['join', 'hushedpinwithsammi', 'event', ':d', 'might', 'get', 'text', 'day', 'luv', 'u']",1.0
"['would', 'realli', 'appreci', 'share', 'video', 'around', ':)']",1.0
"['hello', ':)', 'get', 'youth', 'job', 'opportun', 'follow']",1.0
"['oh', 'wow', 'beauti', 'tom', ':)']",1.0
"['love', ':)']",1.0
"['ad', 'video', 'playlist']",1.0
"['followfriday', 'top', 'support', 'commun', 'week', ':)']",1.0
['follow'],1.0
"['gym', 'monday', ""can't"", 'wait', ':)', 'like']",1.0
"['hey', ""here'"", 'invit', 'join', 'scope', 'influenc', ':)']",1.0
"['friend', 'know', ':)']",1.0
"['wait', 'nude', ':-)']",1.0
"['go', 'sleep', 'u', ':)']",1.0
"['stat', 'day', 'arriv', 'new', 'follow', 'unfollow', ':)', 'via']",1.0
"['birthday', 'week', 'today', ':d']",1.0
"['want', 't-shirt', 'cool', ':d']",1.0
"['haw', 'phela', 'look', 'like', 'mom', 'obvious', 'look', 'like', ':)']",1.0
"['princ', 'charm', 'stage', ':)', 'x']",1.0
"['realli', 'good', 'luck', ':)']",1.0
"['stat', 'day', 'arriv', 'new', 'follow', 'unfollow', ':)', 'via']",1.0
"['followfriday', 'top', 'engag', 'member', 'commun', 'week', ':)']",1.0
"['tyler', 'hipster', 'glass', ':d']",1.0
"['hey', 'marti', 'glad', 'see', 'twitter', ':)']",1.0
"['hi', 'join', 'today', ':)']",1.0
"['done', 'thank', ':-)']",1.0
"['alreadi', 'afternoon', 'let', 'read', 'al', 'kahfi', 'day', 'finish', ':)']",1.0
"['ohmyg', 'yaya', 'dub', 'im', 'done', 'stalk', 'ig', 'accnt', '..', 'gondooo', 'moo', 'tologooo', ':)', 'haha']",1.0
"[""here'"", 'invit', 'becom', 'scope', 'influenc', ':)', 'detail']",1.0
"['followfriday', 'top', 'influenc', 'commun', 'week', ':)']",1.0
"['thank', ':)', 'zzz', 'xx']",1.0
"['physiotherapi', 'friday', 'hashtag', 'today', 'custom', ':-)']",1.0
"['know', 'monica', 'miss', 'yeah', 'sound', 'good', ':)']",1.0
"['good', 'morn', 'beauti', ':)', ""that'"", 'take']",1.0
"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', 'love', 'x']",1.0
"['oh', 'yeah', 'definit', 'go', 'tri', 'tonight', ':)', 'took', 'advic', 'treviso']",1.0
['follow'],1.0
"['hi', 'would', 'like', 'concert', 'let', 'know', 'citi', 'countri', ""i'll"", 'start', 'work', 'thank', ':)']",1.0
"['fine', '...', 'gorgeou', 'friday', 'friend', '..', 'xo', '..', ':)']",1.0
"['oven', 'roast', 'garlic', 'oliv', 'oil', 'sun', 'dri', 'tomato', 'dri', 'basil', 'centuri', 'tuna', ':)']",1.0
"['right', 'back', 'atchya', 'great', 'day', 'everyon', ':)']",1.0
"['even', 'follow', 'back', ':-)']",1.0
"['futur', 'almost', ':)']",1.0
"['followfriday', 'top', 'new', 'follow', 'commun', 'week', ':)']",1.0
"['chanc', ':)']",1.0
"['cheer', ':)']",1.0
"['go', 'po', 'ice', 'cream', ':)']",1.0
"['agre', ':)']",1.0
"['heheheh', 'that', 'point', ':p']",1.0
"['next', 'time', 'stay', 'home', ':)']",1.0
"['thank', ':)']",1.0
"['followfriday', 'top', 'support', 'commun', 'week', ':)']",1.0
"['soon', 'promis', ':)']",1.0
"['web', 'whatsapp', 'volta', 'funcionar', 'com', 'iphon', 'jailbroken', ':-)']",1.0
"['plan', 'watch', 'later', 'min', 'leia', 'appear', 'hologram', 'rd', 'w', 'messag', 'obi', 'wan', 'sit', 'w', 'luke', ':)']",1.0
"['inter', 'ucl', 'arsen', '...', 'small', 'team', 'right', ':)']",1.0
"['pass', ':)', 'dewsburi', 'railway', 'station', 'dew', 'dewsburi', 'west', 'yorkshir']",1.0
"[':)', 'smh']",1.0
"[':)', 'live', 'scotland', ':)', 'strang', 'imagin', 'megan', 'xx']",1.0
"['masaantoday', 'masaantoday', '...', 'shweta', 'tripathi', 'masaantoday', 'masaantoday', ':-)', '..']",1.0
"['w', 'kurta', 'mom', 'half', 'number', ':d', 'wsalelov']",1.0
"['ah', 'hello', 'back', 'larri', ':)']",1.0
"['anyway', 'friday', 'look', 'kinda', 'goood', ':)']",1.0
['follow'],1.0
"['lol', 'well', ""that'"", 'life', ':)', 'thank', 'god', 'enn']",1.0
"['sure', 'could', 'warmup', 'morn', 'come', 'th', 'bath', ':)', 'xx']",1.0
"['dum', 'dum', 'andar', 'ram', 'sampath', 'sona', 'mohapatra', 'samantha', 'edward', 'mein', 'tulan', 'razi', 'razi', 'wah', ""that'"", 'josh', ':)']",1.0
"[':)', 'alway', 'smile']",1.0
"['pictur', ':)']",1.0
"['thank', 'time', 'right', ""that'"", 'perfect', 'time', ':)']",1.0
"['followfriday', 'top', 'engag', 'member', 'commun', 'week', ':)']",1.0
"['know', ':)']",1.0
"['giveitup', 'alreadi', 'given', 'ga', 'subsidi', 'long', 'back', 'initi', 'propos', '..', 'feel', 'delight', 'done', ':)']",1.0
"['miss', 'yesterday', ':-)']",1.0
"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', 'love', 'x']",1.0
"['lmaoo', 'best', 'song', 'ever', 'shall', 'littl', 'throwback', 'week', ':p']",1.0
"['go', 'outli', 'island', 'cheung', 'chau', 'mui', 'wo', '...', 'total', 'differ', ':)']",1.0
"['kfckitchentour', 'kitchen', 'clean', ""i'm"", 'total', 'amaz', ':)']",1.0
['follow'],1.0
"['cusp', 'test', 'water', 'hope', 'reward', ':)']",1.0
"['followfriday', 'top', 'influenc', 'commun', 'week', ':)']",1.0
"['arummzz', ""let'"", 'go', '...', ""i'll"", 'drive', ':p', 'travel', 'travel', 'yogyakarta', 'jeep', 'indonesia', 'instamood', '…']",1.0
"['anyon', 'wanna', 'skype', ':d']",1.0
"['may', 'look', 'bit', 'real', 'nice', 'friendli', 'girl', ':-)']",1.0
"['im', 'like', 'pretend', ':)']",1.0
"['watch', 'concert', 'film', ':)']",1.0
"['congratul', 'winner', 'cheesydelight', 'contest', ':)', 'pleas', 'dm', 'us', 'address', 'contact', 'number']",1.0
"[':)', 'great', 'weekend', 'guy']",1.0
"['followfriday', 'top', 'new', 'follow', 'commun', 'week', ':)']",1.0
"['cool', 'see', 'film', 'today', ':)']",1.0
"['check', 'email', 'market']",1.0
"['lol', 'come', 'join', 'us', '...', 'see', 'u', 'around', 'hour', 'u', 'leav', 'without', 'delay', ':)']",1.0
"['actual', 'easi', 'like', 'must', 'station', 'guess', 'train', 'wd', 'take', 'least', 'hour', 'shift', 'engin', 'etc', ':-)']",1.0
"['sunburn', 'peel', ':-)']",1.0
"['visit', 'blog']",1.0
"['hi', 'would', 'like', 'concert', 'let', 'know', 'citi', 'countri', ""i'll"", 'start', 'work', 'thank', ':)']",1.0
"['talk', 'help', ':)']",1.0
"['huge', 'warm', 'welcom', ':-)', '☆', 'final', 'complet', 'triangl', '☆']",1.0
"['live', 'northern', 'ireland', ':)', 'sight', 'seen']",1.0
['follow'],1.0
"['followfriday', 'top', 'support', 'commun', 'week', ':)']",1.0
"['stat', 'day', 'arriv', 'new', 'follow', 'unfollow', ':)', 'via']",1.0
"['feel', 'smthng', 'smthng', 'fr', 'u', '...', 'lol', '...', 'wanna', 'hug', 'u', '...', 'xoxo', '...', 'love', 'uu', 'jaann', 'take', 'care', ':)']",1.0
"['thank', 'mom', ':)']",1.0
"['thank', 'topnewfollow', 'happi', 'connect', ':)']",1.0
"['wonder', 'thing', 'made', 'feel', 'fluffi', 'insid', 'great', 'pirouett', 'moos', ':d']",1.0
"['trip', 'philli', 'decemb', ':)', ""i'd"", 'love', 'come', 'dude']",1.0
"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', 'love', 'x']",1.0
"['question', 'flaw', 'pain', 'negat', 'strength', ':)']",1.0
"['went', 'solo', 'move', 'made', ':d']",1.0
"['hey', 'fav', 'nirvana', 'song', 'smell', 'like', 'teen', 'spirit', 'rip', 'ami', 'winehous', ':-)']",1.0
"['followfriday', 'top', 'engag', 'member', 'commun', 'week', ':)']",1.0
"[""let'"", 'go', '...', ""i'll"", 'drive', ':p', 'travel', 'travel', 'yogyakarta', 'jeep', 'indonesia', 'instamood', '…']",1.0
"['name', 'coupl', 'yet', 'tomhiddleston', 'elizabetholsen', 'yaytheylookgreat', ':)']",1.0
"['love', 'goodnight', 'vid', 'go', 'wake', 'love', 'one', ':)']",1.0
"['weekend', 'gonna', 'shoot', 'love', 'pictur', 'made', 'last', 'time', ':d']",1.0
"['anyway', ':-)']",1.0
"['itti', 'bitti', 'teeni', 'bikini', ':)']",1.0
"['join', 'hushedpinwithsammi', 'event', ':d', 'might', 'get', 'text', 'day', 'luv', 'u']",1.0
"['alway', 'much', 'fun', 'th', 'hour', 'get', 'togeth', ':)', 'end', 'night', 'ice', 'cream', 'xfile', 'content']",1.0
"['easi', ':d']",1.0
"['ye', 'surpris', 'see', 'bit', 'rain', 'today', '...', ':)']",1.0
['follow'],1.0
"['fabul', 'friday', 'keep', 'fantast', 'work', ':)']",1.0
"['pleas', 'follow', '♡', '♡', '♡', 'pleas', 'jb', 'follow', 'love', 'alway', 'forev', ""i'm"", 'belieb', '♡', '♡', '♡', ':)', 'love', 'u']",1.0
"['followfriday', 'top', 'influenc', 'commun', 'week', ':)']",1.0
"['morn', ':)']",1.0
"['good', 'hear', ':)']",1.0
"['nighti', 'night', 'let', 'bed', 'bug', 'bite', ':d']",1.0
"['beauti', 'bracelet', 'good', 'idea', ':)']",1.0
"['wait', 'foundri', ':)']",1.0
"['like', 'game', ':)']",1.0
"['ah', 'make', 'sens', '...', 'see', 'pic', 'ef', 'phone', 'last', 'night', 'woot', ':)', 'x']",1.0
"['hi', 'derek', 'could', 'tri', 'use', 'parkshar', 'gloucestershir']",1.0
"['aaaahhh', 'man', 'track', 'traffic', 'stress', 'reliev', ':)']",1.0
"['followfriday', 'top', 'new', 'follow', 'commun', 'week', ':)']",1.0
"[""how'r"", 'today', 'dear', ':)']",1.0
"['hear', 'guy', 'want', 'arbeloa', ':d']",1.0
"['turn', 'day', '...', 'omg', 'least', 'year', 'differ', ':)']",1.0
"['well', 'say', 'europ', 'rise', 'find', 'hard', 'believ', ':)']",1.0
"['wsalelov', 'uncount', 'coz', 'love', 'unlimit', ':)']",1.0
"['ye', 'cours', ':)', 'teamposit']",1.0
"['ye', 'love', ':-)', 'aldub']",1.0
"[':)', '☕', '☕', '☕', 'thank', 'rita']",1.0
"['hi', 'could', 'pleas', 'dm', 'us', 'info', ""we'd"", 'happi', 'help', ':)']",1.0
"['way', 'boy', ':)']",1.0
"['hope', 'get', 'lot', 'nice', 'gift', ':d']",1.0
"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', 'love', 'x']",1.0
"['followfriday', 'top', 'support', 'commun', 'week', ':)']",1.0
"['true', ':)']",1.0
"['ad', 'video', 'playlist']",1.0
"['sethi', 'high', ':)']",1.0
"['exe', 'skeem', 'saam', ':)']",1.0
"['peopl', 'make', 'smile', ':)']",1.0
"['thank', 'invit', ':)']",1.0
"['polit', 'izzat', ':)', 'wese', 'trust', 'khawateen', 'k', 'sath', 'selfi', 'say', 'mana', 'kar', 'deya', ':)']",1.0
"['thank', ""that'"", 'friday', 'even', 'sort', ':-)']",1.0
"['smart', ':)']",1.0
"[':-)', 'nice', 'hair', 'tbh']",1.0
"['year', ':)']",1.0
"['jacob', 'g', 'upgrad', ':-)']",1.0
"['nice', 'tee', 'man', ':)']",1.0
"['happi', 'famili', 'vacat', '..', ':d', 'pic', '—']",1.0
"['sleep', 'would', 'nice', ':-)']",1.0
"['read', 'beauti', 'like', 'read', ':)']",1.0
"['talk', 'one', 'person', '...', 'two', 'convers', ':)']",1.0
"['skype', 'fun', ':-)']",1.0
"['onlin', ':)']",1.0
"['...', 'friday', ':d']",1.0
"['followfriday', 'top', 'engag', 'member', 'commun', 'week', ':)']",1.0
"['someth', 'get', 'friday', 'great', 'start', ':)', 'great', 'day', 'mclaren', 'fridayfeel', 'tgif']",1.0
['follow'],1.0
"['squar', 'enix', 'bissmillah', 'ya', 'allah', ':)']",1.0
"[""we'r"", 'train', 'socent', 'startup', 'week', 'w', ""we'd"", 'love', 'drop', 'your', 'arnd', 'town', ':)']",1.0
"['basic', 'piss', 'cup', 'test', ':)']",1.0
"['next', ':)']",1.0
"['also', 'twitter', 'terribl', 'complic', 'discuss', ':)']",1.0
"['snapchat', 'lynettelow', 'snapchat', 'kikmenow', 'snapm', 'hot', 'snapchat', 'amazon', 'kikmeguy', ':)']",1.0
"['look', 'forward', 'hour', 'shift', 'today', ':)']",1.0
"['defin', 'agre', 'grow', 'sport', 'drop', 'email', 'detail', 'see', ':-)']",1.0
"['last', 'rt', ':)']",1.0
"['...', 'rakyat', 'keep', 'visit', 'blog', 'read', 'write', ':)']",1.0
"['ever', 'sinc', 'mention', 'fli', 'fish', 'day', ""i'm"", 'get', 'follow', 'promot', 'post', 'lol', 'cyber', 'stalk', ':-)']",1.0
"['ourdaughtersourprid', 'mypapamyprid', 'proud', 'papa', 'coach', ':)']",1.0
"['great', 'talk', ':d']",1.0
"['never', 'see', 'posit', 'kha', 'u', 'could', 'also', 'mention', 'atleast', 'go', ':)']",1.0
"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', 'love', 'x']",1.0
"['mango', ""lassi'"", ""monty'"", 'marvel', ':d', 'though', 'suspect', ""that'"", 'meant', '...']",1.0
"['followfriday', 'top', 'influenc', 'commun', 'week', ':)']",1.0
"['haha', 'ye', 'hr', 'time', 'come', 'touch', 'kepler', 'b', 'chalna', 'hai', ':d']",1.0
['follow'],1.0
"['thankyou', 'pretti', ':)']",1.0
"['definit', 'hazel', 'food', 'market', 'brooklyn', 'pta', ':)']",1.0
"['still', 'awak', ':)']",1.0
"['okayi', ':d']",1.0
"['awww', 'thank', ':)']",1.0
"['ha', 'surpris', 'least', 'okay', 'see', 'doc', 'afternoon', 'yorkshir', 'splendid', 'though', ':)', 'xx']",1.0
"['spam', 'folder', 'wow', 'huge', 'amount', 'need', 'travel', 'nigeria', 'claim', ':)']",1.0
"['rted', 'good', 'luck', ':)']",1.0
"['leg', 'hurt', 'bad', ':)']",1.0
"['get', 'mine', 'saturday', ':-)']",1.0
"['thaaank', 'decemb', 'puhon', ':)']",1.0
"['happinesss', ':)']",1.0
"['true', 'chang', 'tnc', 'without', 'prior', 'notif', 'could', 'use', 'last', 'night', ':-)']",1.0
[],1.0
"['fat', 'co', 'probabl', 'ate', 'yuna', ':d', ':d', ':d']",1.0
"['fun', 'tamesid', ':)']",1.0
"[':-)', ':-)', ':-)']",1.0
"['´', 'welcom', ':)']",1.0
"['googl', 'account', ':)']",1.0
"['call', 'scouser', 'everyth', 'hope', 'zoe', 'well', 'mate', ':)']",1.0
"['right', 'liter', 'like', 'mayb', 'u', 'get', 'peopl', 'actual', 'know', ""they'r"", ':-)']",1.0
"['samee', 'rest', 'well', ':)']",1.0
"['happi', 'birthday', 'edgar', 'hope', 'good', 'one', 'keep', 'updat', 'travel', 'log', ':)']",1.0
"['hello', ':d']",1.0
"['bring', 'abe', ':)']",1.0
"['stat', 'day', 'arriv', 'new', 'follow', 'unfollow', ':)', 'via']",1.0
"['someon', 'talk', ':)']",1.0
"['never', 'ever', 'meet', ':d']",1.0
"['come', 'man', ':d', ':d']",1.0
['follow'],1.0
"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', 'love', 'x']",1.0
"['sigh', 'dreamili', 'pout', 'come', 'bath', 'eye', ':-)', 'quacketyquack']",1.0
"['happi', 'birthday', 'love', ':)']",1.0
"['cheer', ':-)']",1.0
"['funni', 'happen', 'phil']",1.0
"[""i'd"", 'call', 'em', 'del', 'rodder', ':)', 'els']",1.0
"['hi', 'may', 'like', 'play', 'newest', 'gamejam', 'game', 'would', 'happi', ':)']",1.0
"['great', 'irish', 'literatur', 'realli', 'inaccess', 'us', 'without', 'irish', ':)']",1.0
"['yeah', 'fun', ':)', 'flipkartfashionfriday']",1.0
"['nice', 'music', ':)', 'check']",1.0
"['strang', ""kareena'"", 'fan', 'know', ""kareena'"", 'fan', ':)']",1.0
"['hello', ':)', 'get', 'youth', 'job', 'opportun', 'follow']",1.0
"['better', ':)']",1.0
"['cool', 'look', ':)']",1.0
"[':)', 'beauti']",1.0
"[""i'm"", 'play', 'brain', 'dot', 'braindot']",1.0
"[""that'"", 'fair', 'enough', ':)', 'rush', 'back', 'either']",1.0
"['brandi', 'fb', 'drop', 'selfi', ':)', 'fun']",1.0
['follow'],1.0
"['carniv', 'men', 'put', 'mask', 'mask', 'xavier', 'forneret', ':-)']",1.0
"['jennif', 'check', 'site', 'u', 'wanna', 'get', 'free', 'ball', 'pool', 'coin', 'thank', ':)']",1.0
"['beauti', 'edit', 'trish', ':)', 'love', '♥']",1.0
"['grate', 'happi', ':)', 'post', 'three', 'thing', 'grate', 'today', 'comment']",1.0
"['love', 'wakeup', 'besid', 'real', 'dirti', 'dirti', 'sex', ':-)']",1.0
"['lmaooo', 'hot', 'like', 'loui', ':)', ""he'"", 'hot']",1.0
"['gonna', 'throw', 'idea', 'caus', ""they'r"", 'bad', 'inspir', 'think', 'someth', 'much', 'better', ':-)']",1.0
"['ff', 'best', 'twoof', 'follow', 'gr', 'wkend', ':)']",1.0
"['wish', 'could', 'mayb', 'one', 'year', ':)']",1.0
"['hey', 'guy', ':)']",1.0
"['think', 'need', 'go', 'bed', 'kind', 'exhaust', 'good', 'night', 'twitter', ':)']",1.0
"['thank', 'much', '..', 'glad', 'like', '..', ':-)']",1.0
"['get', 'better', 'time', ':)']",1.0
"['kind', 'word', 'thank', 'much', 'much', 'good', 'cheltenham', 'area', ':)']",1.0
"['hi', 'beauti', 'follow', 'pleas', ':)']",1.0
"['’', 'kale', 'crisp', ':-)', 'ruin', 'good', 'thing']",1.0
"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', 'love', 'x']",1.0
"['open', 'worldwid', ':)']",1.0
"['get', 'fuck', 'outta', ':d']",1.0
"['cool', 'guy', 'sfvbeta', 'releas', 'work', ':)']",1.0
"['realli', 'look', 'vantast', ':)']",1.0
"['today', 'final', 'time', 'work', 'xcylin', ':d']",1.0
"['thank', 'bundl', 'show', 'internet', 'price', 'phone', 'realisticli', 'pay', 'net', ':)']",1.0
"[':)', 'true', 'educ', 'power', 'weapon', 'use', 'chang', 'world', 'nelson', 'mandela']",1.0
['follow'],1.0
"['recent', 'trip', 'j', 'k', 'total', 'love', ':d', ""that'"", 'chenab', 'flow', 'pakistan', 'incredibleindia']",1.0
"['teenchoic', 'choiceinternationalartist', 'superjunior', ':)']",1.0
"['caught', 'first', 'salmon', 'today', ':d']",1.0
"['happi', 'friday', 'check', 'see', 'enjoy', 'super-blend', ':)']",1.0
"['thank', 'follow', 'get', 'touch', 'like', 'info', 'project', 'youth.org.uk', ':)']",1.0
"['pleas', 'go', 'check', 'awesom', ""friend'"", 'stream']",1.0
"['alma', 'mater', ':)', 'highschoolday', 'clientvisit', ':)', 'faith', 'christian', 'school']",1.0
"['good', 'luck', 'lizaminnelli', 'upcom', 'uk', 'appear', ':-)']",1.0
"['lol', 'realli', ""can't"", 'believ', 'beauti', 'girl', 'like', 'singl', ':p']",1.0
"['never', 'listen', 'hill', 'everi', ':-)']",1.0
"['would', 'listen', 'beat', 'went', 'wrong', 'life', ':)']",1.0
"['haha', ""that'"", 'great', ':)']",1.0
"['get', 'everyth', 'readi', 'natur', 'pefumeri', 'workshop', 'neal', 'yard', 'covent', 'garden', 'tomorrow', ':)']",1.0
"['fback', ':)', 'indo', 'harmo']",1.0
"['americano', ':)']",1.0
[':-)'],1.0
"['love', 'way', ':)']",1.0
"['alway', 'rememb', ':)']",1.0
"['aww', 'thank', 'beauti', 'pic', ':d']",1.0
"['head', ':)']",1.0
"['hi', 'saw', 'u', 'follow', 'thought', 'u', 'might', 'like', 'dark']",1.0
"['smart', 'handshom', 'cute', 'juga', ':d']",1.0
"['hurray', 'look', 'forward', 'meet', ':)']",1.0
['follow'],1.0
"['caus', 'hate', 'cours', 'lol', 'cant', 'decid', 'want', 'chang', 'im', 'go', 'take', 'time', 'save', 'mayb', 'travel', ':)']",1.0
"['list', ""i'm"", 'still', 'show', ':)']",1.0
[':)'],1.0
"['hi', 'would', 'like', 'concert', 'let', 'know', 'citi', 'countri', ""i'll"", 'start', 'work', 'thank', ':)']",1.0
"['oh', 'awesom', 'thank', 'much', ':)']",1.0
"['perfect', ':)']",1.0
"['hiya', 'email', 'web', 'exec', 'loryn.good-chamber.co.uk', 'abl', 'help', ':)']",1.0
"[':)', 'enjoy', 'photo', 'mom', 'babi']",1.0
"['big', 'thx', 'kind', 'support', 'good', 'luck', ':-)']",1.0
"['china', 'actual', 'girl', 'homosexu', 'love', 'either', 'way', ':d', 'hyungbot']",1.0
"['caus', 'like', 'lot', ':)']",1.0
"['give', 'time', 'fam', 'got', 'thing', 'mind', ':-)']",1.0
